Table Range A2:AS541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,JURS NAME,Planning period progress,Planning Period Length (Years),Planning Period Half-Way Point,1st APR,Last APR,Planning period beginning,Planning period end,Planning period,RHNA VLI,VLI PERMITS,VLI DR UNITS,VLI (NDR) UNITS,VLI REMAINING UNITS,VLI % Complete,Prorated VLI RHNA,Excess VLI,RHNA LI,LI PERMITS,LI (DR) UNITS,LI (NDR) UNITS,LI REMAINING UNITS,Lower Permits,Lower Remain,LI % Complete,% Lower Complete,RHNA MOD,MOD PERMITS,MOD REMAINING UNITS,MOD % Complete,RHNA ABOVE MOD,ABOVE MOD PERMITS,ABOVE MOD REMAINING UNITS,ABOVE MOD % Complete,RHNA TOTAL,TOTAL PERMITS,TOTAL RHNA REMAIN,PRORATION FACTOR,10%,50%,EXEMPT,STATUS,Exempt but for 2019 APR,50% but for 2019 APR
KINGS,AVENAL,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,145,0,0,0,145,0.00%,73,0,108,39,39,0,69,39,69,36.11%,36.11%,115,37,78,32.17%,271,0,271,0.00%,639,76,563,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,AZUSA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,198,0,0,0,198,0.00%,99,0,118,0,0,0,118,0,118,0.00%,0.00%,127,678,0,533.86%,336,0,336,0.00%,779,678,652,0.5,YES,NO,NO,Successful,NO,NO
KERN,BAKERSFIELD,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,9706,185,185,0,9521,1.91%,4853,0,5800,90,90,0,5710,90,5710,1.55%,1.55%,6453,4392,2061,68.06%,14331,5968,8363,41.64%,36290,10635,25655,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,BALDWIN PARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,142,47,47,0,95,33.10%,71,0,83,17,17,0,66,17,66,20.48%,20.48%,90,1,89,1.11%,242,127,115,52.48%,557,192,365,0.5,NO,YES,NO,Successful,NO,YES
RIVERSIDE,BANNING,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,872,0,0,0,872,0.00%,436,0,593,0,0,0,593,0,593,0.00%,0.00%,685,0,685,0.00%,1642,0,1642,0.00%,3792,0,3792,0.5,YES,NO,NO,Successful,NO,NO
SAN BERNARDINO,BARSTOW,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,188,0,0,0,188,0.00%,94,0,138,0,0,0,138,0,138,0.00%,0.00%,154,2,152,1.30%,363,1,362,0.28%,843,3,840,0.5,YES,NO,NO,Successful,NO,NO
RIVERSIDE,BEAUMONT,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1267,0,0,0,1267,0.00%,634,0,854,0,0,0,854,0,854,0.00%,0.00%,969,323,646,33.33%,2160,423,1737,19.58%,5250,746,4504,0.5,YES,NO,NO,No 2019 APR,NO,NO
LOS ANGELES,BELL,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,11,65,65,0,0,590.91%,6,59,7,0,0,0,7,59,0,0.00%,842.86%,8,3,5,37.50%,21,72,0,342.86%,47,140,12,0.5,NO,NO,YES,Successful,YES,NO
LOS ANGELES,BELL GARDENS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,11,0,0,0,11,0.00%,6,0,7,0,0,0,7,0,7,0.00%,0.00%,8,10,0,125.00%,20,17,3,85.00%,46,27,21,0.5,YES,NO,NO,No 2019 APR,NO,YES
LOS ANGELES,BELLFLOWER,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,6,6,0,0,6,0,600.00%,600.00%,0,6,0,0.00%,0,242,0,0.00%,2,254,1,0.5,NO,YES,NO,Successful,NO,YES
SAN MATEO,BELMONT,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,116,0,0,0,116,0.00%,58,0,63,0,0,0,63,0,63,0.00%,0.00%,67,13,54,19.40%,222,147,75,66.22%,468,160,308,0.5,NO,YES,NO,Successful,NO,YES
MARIN,BELVEDERE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,4,0,0,0,4,0.00%,2,0,3,0,0,0,3,0,3,0.00%,0.00%,4,2,2,50.00%,5,0,5,0.00%,16,2,14,0.5,YES,NO,NO,Successful,NO,NO
SOLANO,BENICIA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,94,1,1,0,93,1.06%,47,0,54,3,3,0,51,3,51,5.56%,5.56%,56,3,53,5.36%,123,15,108,12.20%,327,22,305,0.5,YES,NO,NO,Successful,NO,NO
ALAMEDA,BERKELEY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,532,86,86,0,446,16.17%,266,0,442,17,17,0,425,17,425,3.85%,3.85%,584,132,452,22.60%,1401,1132,269,80.80%,2959,1367,1592,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,BEVERLY HILLS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,4,2,2,0,400.00%,1,3,1,3,3,0,0,6,0,300.00%,600.00%,1,2,0,200.00%,0,91,0,0.00%,3,100,0,0.5,NO,NO,YES,Successful,YES,NO
SAN BERNARDINO,BIG BEAR LAKE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,0,0,0,1,0,1,0.00%,0.00%,0,4,0,0.00%,0,23,0,0.00%,2,27,2,0.5,NO,YES,NO,Successful,NO,YES
BUTTE,BIGGS,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,48,26,26,0,22,54.17%,24,2,30,30,30,0,0,32,0,100.00%,106.67%,24,1,23,4.17%,82,0,82,0.00%,184,57,127,0.5,YES,NO,NO,Successful,NO,NO
INYO,BISHOP,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,15,0,0,0,15,0.00%,15,0,10,1,1,0,9,1,9,10.00%,10.00%,12,8,4,66.67%,28,1,27,3.57%,65,10,55,1,YES,NO,NO,Successful,NO,NO
HUMBOLDT,BLUE LAKE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,4,,,,4,,4,0,1,,,,1,0,1,,0.00%,2,,2,,4,,4,,11,,11,1,YES,NO,NO,No 2019 APR,NO,NO
RIVERSIDE,BLYTHE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,91,0,0,0,91,0.00%,46,0,64,0,0,0,64,0,64,0.00%,0.00%,75,2,73,2.67%,172,1,171,0.58%,402,3,399,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,BRADBURY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,,,,1,,1,0,1,,,,1,0,1,,0.00%,0,,0,0.00%,0,,0,,2,,2,0.5,YES,NO,NO,No 2019 APR,NO,YES
IMPERIAL,BRAWLEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,760,39,37,2,721,5.13%,380,0,470,53,51,2,417,53,417,11.28%,11.28%,466,94,372,20.17%,1338,9,1329,0.67%,3034,195,2839,0.5,YES,NO,NO,Successful,NO,NO
ORANGE,BREA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,426,0,0,0,426,0.00%,213,0,305,0,0,0,305,0,305,0.00%,0.00%,335,21,314,6.27%,785,1411,0,179.75%,1851,1432,1045,0.5,NO,YES,NO,Successful,NO,YES
CONTRA COSTA,BRENTWOOD,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,234,3,3,0,231,1.28%,117,0,124,10,10,0,114,10,114,8.06%,8.06%,123,28,95,22.76%,279,2230,0,799.28%,760,2271,440,0.5,NO,YES,NO,Successful,NO,YES
SAN MATEO,BRISBANE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,25,0,0,0,25,0.00%,13,0,13,0,0,0,13,0,13,0.00%,0.00%,15,13,2,86.67%,30,49,0,163.33%,83,62,40,0.5,NO,YES,NO,Successful,NO,YES
SANTA BARBARA,BUELLTON,62.50%,8,2019,2015,2022,2/15/15,2/15/23,15-FEB-15 - 15-FEB-23,66,5,5,0,61,7.58%,33,0,44,4,4,0,40,4,40,9.09%,9.09%,41,61,0,148.78%,124,125,0,100.81%,275,195,101,0.5,NO,YES,NO,Successful,NO,YES
ORANGE,BUENA PARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,76,21,21,0,55,27.63%,38,0,53,49,49,0,4,49,4,92.45%,92.45%,62,181,0,291.94%,148,181,0,122.30%,339,432,59,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,BURBANK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,694,0,0,0,694,0.00%,347,0,413,0,0,0,413,0,413,0.00%,0.00%,443,0,443,0.00%,1134,325,809,28.66%,2684,325,2359,0.5,YES,NO,NO,Successful,NO,NO
SAN MATEO,BURLINGAME,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,276,0,0,0,276,0.00%,138,0,144,0,0,0,144,0,144,0.00%,0.00%,155,32,123,20.65%,288,422,0,146.53%,863,454,543,0.5,NO,YES,NO,Successful,NO,YES
BUTTE,BUTTE COUNTY,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,682,0,0,0,682,0.00%,341,0,545,8,8,0,537,8,537,1.47%,1.47%,480,33,447,6.88%,1267,207,1060,16.34%,2974,248,2726,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,CALABASAS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,88,8,8,0,80,9.09%,44,0,54,0,0,0,54,0,54,0.00%,0.00%,57,7,50,12.28%,131,91,40,69.47%,330,106,224,0.5,NO,YES,NO,Successful,NO,YES
CALAVERAS,CALAVERAS COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,241,100,0,100,141,41.49%,241,0,175,91,0,91,84,91,84,52.00%,52.00%,192,218,0,113.54%,471,232,239,49.26%,1079,641,464,1,YES,NO,NO,Successful,NO,NO
IMPERIAL,CALEXICO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,817,66,23,43,751,8.08%,409,0,489,10,0,10,479,10,479,2.04%,2.04%,490,64,426,13.06%,1428,0,1428,0.00%,3224,140,3084,0.5,YES,NO,NO,Successful,NO,NO
KERN,CALIFORNIA CITY,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,254,,,,254,,127,0,131,,,,131,0,131,,0.00%,155,,155,,726,,726,,1266,,1266,0.5,YES,NO,NO,No 2019 APR,NO,NO
RIVERSIDE,CALIMESA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,543,0,0,0,543,0.00%,272,0,383,0,0,0,383,0,383,0.00%,0.00%,433,0,433,0.00%,982,273,709,27.80%,2341,273,2068,0.5,YES,NO,NO,Successful,NO,NO
IMPERIAL,CALIPATRIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,37,0,0,0,37,0.00%,19,0,22,0,0,0,22,0,22,0.00%,0.00%,22,0,22,0.00%,63,0,63,0.00%,144,0,144,0.5,YES,NO,NO,No 2019 APR,NO,NO
NAPA,CALISTOGA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,6,23,23,0,0,383.33%,3,20,2,7,6,1,0,27,0,350.00%,1350.00%,4,7,0,175.00%,15,36,0,240.00%,27,73,0,0.5,NO,NO,YES,Successful,YES,NO
VENTURA,CAMARILLO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,539,126,126,0,413,23.38%,270,0,366,105,105,0,261,105,261,28.69%,28.69%,411,616,0,149.88%,908,517,391,56.94%,2224,1364,1065,0.5,NO,YES,NO,Successful,NO,YES
SANTA CLARA,CAMPBELL,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,253,11,11,0,242,4.35%,127,0,138,4,4,0,134,4,134,2.90%,2.90%,151,16,135,10.60%,391,371,20,94.88%,933,402,531,0.5,NO,YES,NO,Successful,NO,YES
RIVERSIDE,CANYON LAKE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,21,0,0,0,21,0.00%,11,0,14,0,0,0,14,0,14,0.00%,0.00%,16,10,6,62.50%,32,18,14,56.25%,83,28,55,0.5,NO,YES,NO,Successful,NO,YES
SANTA CRUZ,CAPITOLA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,34,0,0,0,34,0.00%,17,0,23,0,0,0,23,0,23,0.00%,0.00%,26,1,25,3.85%,60,30,30,50.00%,143,31,112,0.5,NO,YES,NO,Successful,NO,YES
SAN DIEGO,CARLSBAD,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,912,42,42,0,870,4.61%,456,0,693,208,207,1,485,208,485,30.01%,30.01%,1062,211,851,19.87%,2332,2010,322,86.19%,4999,2471,2528,0.5,NO,YES,NO,Successful,NO,YES
MONTEREY,CARMEL,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,7,0,0,0,7,0.00%,4,0,5,0,0,0,5,0,5,0.00%,0.00%,6,0,6,0.00%,13,7,6,53.85%,31,7,24,0.5,YES,NO,NO,No 2019 APR,NO,YES
SANTA BARBARA,CARPINTERIA,62.50%,8,2019,2015,2022,2/15/15,2/15/23,15-FEB-15 - 15-FEB-23,39,66,66,0,0,169.23%,20,46,26,21,21,0,5,67,0,80.77%,257.69%,34,2,32,5.88%,64,91,0,142.19%,163,180,37,0.5,NO,NO,YES,Successful,YES,NO
LOS ANGELES,CARSON,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,447,39,39,0,408,8.72%,224,0,263,56,56,0,207,56,207,21.29%,21.29%,280,130,150,46.43%,708,83,625,11.72%,1698,308,1390,0.5,YES,NO,NO,No 2019 APR,NO,NO
RIVERSIDE,CATHEDRAL,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,141,0,0,0,141,0.00%,71,0,95,0,0,0,95,0,95,0.00%,0.00%,110,122,0,110.91%,254,3,251,1.18%,600,125,487,0.5,YES,NO,NO,Successful,NO,NO
STANISLAUS,CERES,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,622,0,0,0,622,0.00%,311,0,399,0,0,0,399,0,399,0.00%,0.00%,446,11,435,2.47%,1104,58,1046,5.25%,2571,69,2502,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,CERRITOS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,23,0,0,0,23,0.00%,12,0,14,0,0,0,14,0,14,0.00%,0.00%,14,0,14,0.00%,35,355,0,1014.29%,86,355,51,0.5,NO,YES,NO,Successful,NO,YES
BUTTE,CHICO,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,974,15,15,0,959,1.54%,487,0,643,5,5,0,638,5,638,0.78%,0.78%,708,324,384,45.76%,1638,1333,305,81.38%,3963,1677,2286,0.5,NO,YES,NO,Successful,NO,YES
SAN BERNARDINO,CHINO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,707,135,135,0,572,19.09%,354,0,478,203,203,0,275,203,275,42.47%,42.47%,533,0,533,0.00%,1176,1684,0,143.20%,2894,2022,1380,0.5,NO,YES,NO,Successful,NO,YES
SAN BERNARDINO,CHINO HILLS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,217,0,0,0,217,0.00%,109,0,148,0,0,0,148,0,148,0.00%,0.00%,164,1322,0,806.10%,333,588,0,176.58%,862,1910,365,0.5,NO,YES,NO,Successful,NO,YES
MADERA,CHOWCHILLA,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,253,0,0,0,253,0.00%,127,0,190,0,0,0,190,0,190,0.00%,0.00%,204,24,180,11.76%,467,5,462,1.07%,1114,29,1085,0.5,YES,NO,NO,Successful,NO,NO
SAN DIEGO,CHULA VISTA,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,3209,115,115,0,3094,3.58%,1605,0,2439,565,565,0,1874,565,1874,23.17%,23.17%,2257,315,1942,13.96%,4956,4794,162,96.73%,12861,5789,7072,0.5,NO,YES,NO,Successful,NO,YES
