"","city","latitude","longitude"
"287","Colma town",37.68,-122.45
"288","Coloma",38.8,-120.89
"289","Colton city",34.05,-117.33
"290","Columbia",38.03,-120.41
"291","Colusa city",39.2,-122.01
"292","Commerce city",34,-118.15
"293","Comptche",39.27,-123.59
"294","Compton city",33.89,-118.23
"295","Concord city",37.97,-122
"296","Concow",39.77,-121.52
"297","Contra Costa Centre",37.93,-122.05
"298","Copperopolis",37.94,-120.63
"299","Corcoran city",36.08,-119.56
"300","Corning city",39.93,-122.18
"301","Corona city",33.86,-117.56
"302","Coronado city",32.64,-117.17
"303","Coronita",33.88,-117.61
"304","Corralitos",36.99,-121.79
"305","Corte Madera town",37.93,-122.51
"306","Costa Mesa city",33.67,-117.91
"307","Cotati city",38.33,-122.71
"308","Coto de Caza",33.6,-117.59
"309","Cottonwood",40.39,-122.29
"310","Coultervillle",37.71,-120.2
"311","Country Club",37.97,-121.34
"312","Courtland",38.33,-121.56
"313","Covelo",39.8,-123.25
"314","Covina city",34.09,-117.88
"315","Cowan",37.56,-120.99
"316","Crescent City city",41.77,-124.19
"317","Crescent Mills",40.1,-120.92
"318","Cressey",37.42,-120.66
"319","Crest",32.8,-116.87
"320","Crestline",34.25,-117.29
"321","Crestmore Heights",34.03,-117.4
"322","Creston",35.52,-120.52
"323","Crockett",38.05,-122.22
"324","Cromberg",39.87,-120.69
"325","Crowley Lake",37.57,-118.75
"326","Crows Landing",37.39,-121.08
"327","Cudahy city",33.96,-118.18
"328","Culver City city",34.01,-118.4
"329","Cupertino city",37.32,-122.05
"330","Cutler",36.53,-119.29
"331","Cutten",40.77,-124.14
"332","Cuyama",34.93,-119.61
"333","Cypress city",33.82,-118.04
"334","Daly City city",37.69,-122.47
"335","Dana Point city",33.44,-117.71
"336","Danville town",37.81,-121.97
"337","Daphnedale Park",41.51,-120.55
"338","Darwin",36.27,-117.59
"339","Davenport",37.02,-122.19
"340","Davis city",38.56,-121.74
"341","Day Valley",37.03,-121.86
"342","Deer Park",38.54,-122.47
"343","Del Aire",33.92,-118.37
"344","Del Mar city",32.96,-117.26
"345","Del Monte Forest",36.58,-121.95
"346","Del Rey",36.66,-119.6
"347","Del Rey Oaks city",36.59,-121.84
"348","Del Rio",37.74,-121.01
"349","Delano city",35.77,-119.26
"350","Delft Colony",36.51,-119.45
"351","Delhi",37.43,-120.78
"352","Delleker",39.81,-120.5
"353","Denair",37.53,-120.8
"354","Derby Acres",35.24,-119.6
"355","Descanso",32.87,-116.63
"356","Desert Center",33.74,-115.37
"357","Desert Edge",33.92,-116.44
"358","Desert Hot Springs city",33.97,-116.55
"359","Desert Palms",33.78,-116.29
"360","Desert Shores",33.4,-116.04
"361","Desert View Highlands",34.59,-118.15
"362","Diablo",37.84,-121.96
"363","Diablo Grande",37.4,-121.27
"364","Diamond Bar city",34,-117.82
"365","Diamond Springs",38.69,-120.84
"366","Dillon Beach",38.24,-122.96
"367","Dinuba city",36.55,-119.4
"368","Discovery Bay",37.91,-121.6
"369","Dixon city",38.45,-121.82
"370","Dixon Lane-Meadow Creek",37.39,-118.42
"371","Dobbins",39.37,-121.21
"372","Dogtown",38.21,-121.16
"373","Dollar Point",39.19,-120.11
"374","Dorrington",38.29,-120.27
"375","Dorris city",41.96,-121.92
"376","Dos Palos city",36.99,-120.63
"377","Dos Palos Y",37.05,-120.64
"378","Douglas City",40.66,-122.93
"379","Downey city",33.94,-118.13
"380","Downieville",39.57,-120.82
"381","Doyle",40.03,-120.12
"382","Drytown",38.44,-120.86
"383","Duarte city",34.16,-117.95
"384","Dublin city",37.72,-121.9
"385","Ducor",35.89,-119.05
"386","Dunnigan",38.89,-121.97
"387","Dunsmuir city",41.23,-122.27
"388","Durham",39.62,-121.79
"389","Dustin Acres",35.22,-119.37
"390","Dutch Flat",39.21,-120.83
"391","Eagleville",41.32,-120.11
"392","Earlimart",35.88,-119.27
"393","East Foothills",37.38,-121.82
"394","East Hemet",33.73,-116.94
"395","East La Mirada",33.92,-117.99
"396","East Los Angeles",34.03,-118.17
"397","East Nicolaus",38.91,-121.54
"398","East Oakdale",37.78,-120.8
"399","East Orosi",36.55,-119.26
"400","East Palo Alto city",37.47,-122.13
"401","East Pasadena",34.14,-118.08
"402","East Porterville",36.06,-118.97
"403","East Quincy",39.92,-120.92
"404","East Rancho Dominguez",33.89,-118.2
"405","East Richmond Heights",37.95,-122.31
"406","East San Gabriel",34.12,-118.08
"407","East Shore",40.25,-121.08
"408","East Sonora",37.98,-120.34
"409","East Tulare Villa",36.2,-119.28
"410","Easton",36.65,-119.79
